,dtype,missing,missing_pct,unique,blank_strings
track_id,str,0,0.0,89741,0
artists,str,1,0.0008771929824561403,31437,0
album_name,str,1,0.0008771929824561403,46589,0
track_name,str,1,0.0008771929824561403,73608,0
popularity,int64,0,0.0,101,0
duration_ms,int64,0,0.0,50697,0
explicit,bool,0,0.0,2,0
danceability,float64,0,0.0,1174,0
energy,float64,0,0.0,2083,0
key,int64,0,0.0,12,0
loudness,float64,0,0.0,19480,0
mode,int64,0,0.0,2,0
speechiness,float64,0,0.0,1489,0
acousticness,float64,0,0.0,5061,0
instrumentalness,float64,0,0.0,5346,0
liveness,float64,0,0.0,1722,0
valence,float64,0,0.0,1790,0
tempo,float64,0,0.0,45653,0
time_signature,int64,0,0.0,5,0
track_genre,str,0,0.0,114,0
