feature_1,feature_2,pearson_r
energy,loudness,0.7616899598908229
energy,acousticness,-0.7339063209687006
loudness,acousticness,-0.589802666748685
danceability,valence,0.4773412353128837
loudness,instrumentalness,-0.4334768619918994
instrumentalness,valence,-0.3243123284885751
loudness,valence,0.2798478818998835
danceability,loudness,0.259076733173736
energy,valence,0.2589339951838104
energy,tempo,0.24785050980261852
loudness,tempo,0.21244589657951293
acousticness,tempo,-0.20822414719631155
danceability,time_signature,0.20721811494175352
speechiness,liveness,0.20521905734843077
loudness,time_signature,0.19199186807648067
energy,time_signature,0.18712607527129327
danceability,instrumentalness,-0.18560624973011564
energy,liveness,0.184795522295953
energy,instrumentalness,-0.18187921111249006
acousticness,time_signature,-0.1761382872460944
danceability,acousticness,-0.1715333309537537
duration_ms,valence,-0.1544786118015364
energy,speechiness,0.1425088678087147
key,mode,-0.13591584110820829
danceability,energy,0.1343254834689731
valence,time_signature,0.13368595777261855
danceability,liveness,-0.1316168566857274
duration_ms,instrumentalness,0.12437050184419106
danceability,speechiness,0.10862608966979848
acousticness,valence,-0.10707017977230612
acousticness,instrumentalness,0.10402711936289785
duration_ms,acousticness,-0.10378812960483076
mode,acousticness,0.09555323646341249
popularity,instrumentalness,-0.09513920344466378
speechiness,instrumentalness,-0.08961576482388979
instrumentalness,time_signature,-0.08258038511037413
instrumentalness,liveness,-0.07989258226235166
energy,mode,-0.07836183592117937
valence,tempo,0.0782730676394731
loudness,liveness,0.07689866201093871
duration_ms,danceability,-0.0734262404887121
danceability,mode,-0.06921925528558356
tempo,time_signature,0.06664108820638949
duration_ms,speechiness,-0.06259983350396105
loudness,speechiness,0.060826328125053494
duration_ms,energy,0.05852277808156142
danceability,tempo,-0.05044987143121911
popularity,loudness,0.050423036100496726
instrumentalness,tempo,-0.05033040132787435
mode,instrumentalness,-0.04995460675358008
energy,key,0.048005616419316124
mode,speechiness,-0.046531716684373656
popularity,speechiness,-0.04492654926158642
loudness,mode,-0.04176443970303784
key,acousticness,-0.040937072191106656
popularity,valence,-0.04053429465994478
key,loudness,0.038590068681488184
speechiness,valence,0.036634582881903986
danceability,key,0.03646876939468081
duration_ms,mode,-0.03555570192677205
popularity,danceability,0.03544813475138456
key,valence,0.034103154095566905
popularity,time_signature,0.031072758760107944
popularity,acousticness,-0.02547241256836296
duration_ms,tempo,0.02434560569059918
mode,time_signature,-0.024092268920632744
liveness,time_signature,-0.02365055961847419
mode,valence,0.021952523802556544
acousticness,liveness,-0.020700360822696343
key,speechiness,0.020417666762920852
liveness,valence,0.019086254807101112
duration_ms,time_signature,0.018224618860073007
speechiness,tempo,0.017273223330484134
key,time_signature,0.015064961073379332
mode,liveness,0.014012191588595136
popularity,mode,-0.013930786753108272
popularity,tempo,0.013204659932995164
key,tempo,0.010916619112810303
duration_ms,liveness,0.010321328690527575
duration_ms,key,0.008114135523599708
popularity,duration_ms,-0.007101208619703797
key,instrumentalness,-0.0068228997086772075
popularity,liveness,-0.005387153831593543
popularity,key,-0.003853154715560276
duration_ms,loudness,-0.0034701651716764013
speechiness,acousticness,-0.0021863357894030366
key,liveness,-0.0016000351154872377
popularity,energy,0.001056136299699478
liveness,tempo,0.0005997673113037409
mode,tempo,0.0005655581057944913
speechiness,time_signature,-1.1121132844944972e-05
popularity,popularity,
duration_ms,popularity,
duration_ms,duration_ms,
danceability,popularity,
danceability,duration_ms,
danceability,danceability,
energy,popularity,
energy,duration_ms,
energy,danceability,
energy,energy,
key,popularity,
key,duration_ms,
key,danceability,
key,energy,
key,key,
loudness,popularity,
loudness,duration_ms,
loudness,danceability,
loudness,energy,
loudness,key,
loudness,loudness,
mode,popularity,
mode,duration_ms,
mode,danceability,
mode,energy,
mode,key,
mode,loudness,
mode,mode,
speechiness,popularity,
speechiness,duration_ms,
speechiness,danceability,
speechiness,energy,
speechiness,key,
speechiness,loudness,
speechiness,mode,
speechiness,speechiness,
acousticness,popularity,
acousticness,duration_ms,
acousticness,danceability,
acousticness,energy,
acousticness,key,
acousticness,loudness,
acousticness,mode,
acousticness,speechiness,
acousticness,acousticness,
instrumentalness,popularity,
instrumentalness,duration_ms,
instrumentalness,danceability,
instrumentalness,energy,
instrumentalness,key,
instrumentalness,loudness,
instrumentalness,mode,
instrumentalness,speechiness,
instrumentalness,acousticness,
instrumentalness,instrumentalness,
liveness,popularity,
liveness,duration_ms,
liveness,danceability,
liveness,energy,
liveness,key,
liveness,loudness,
liveness,mode,
liveness,speechiness,
liveness,acousticness,
liveness,instrumentalness,
liveness,liveness,
valence,popularity,
valence,duration_ms,
valence,danceability,
valence,energy,
valence,key,
valence,loudness,
valence,mode,
valence,speechiness,
valence,acousticness,
valence,instrumentalness,
valence,liveness,
valence,valence,
tempo,popularity,
tempo,duration_ms,
tempo,danceability,
tempo,energy,
tempo,key,
tempo,loudness,
tempo,mode,
tempo,speechiness,
tempo,acousticness,
tempo,instrumentalness,
tempo,liveness,
tempo,valence,
tempo,tempo,
time_signature,popularity,
time_signature,duration_ms,
time_signature,danceability,
time_signature,energy,
time_signature,key,
time_signature,loudness,
time_signature,mode,
time_signature,speechiness,
time_signature,acousticness,
time_signature,instrumentalness,
time_signature,liveness,
time_signature,valence,
time_signature,tempo,
time_signature,time_signature,
