source_row_zero_based,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1874,0CDucx9lKxuCZplLXUz0iX,Buena Onda Reggae Club,Disco 2,Song for Rollins,16,219346,False,0.841,0.577,0,-7.544,1,0.0438,0.238,0.86,0.0571,0.843,90.522,4,afrobeat
1925,0CDucx9lKxuCZplLXUz0iX,Buena Onda Reggae Club,Disco 2,Song for Rollins,16,219346,False,0.841,0.577,0,-7.544,1,0.0438,0.238,0.86,0.0571,0.843,90.522,4,afrobeat
2109,2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),80,334666,False,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4,alt-rock
2155,2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),80,334666,False,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4,alt-rock
3683,7mULVp0DJrI2Nd6GesLvxn,Joy Division,Timeless Rock Hits,Love Will Tear Us Apart,0,204621,False,0.524,0.902,2,-8.662,1,0.0368,0.000989,0.695,0.137,0.907,146.833,4,alternative
3738,7mULVp0DJrI2Nd6GesLvxn,Joy Division,Timeless Rock Hits,Love Will Tear Us Apart,0,204621,False,0.524,0.902,2,-8.662,1,0.0368,0.000989,0.695,0.137,0.907,146.833,4,alternative
4598,6d3RIvHfVkoOtW1WHXmbX3,Little Symphony,Serenity,Margot,27,45714,False,0.269,0.142,0,-23.695,1,0.0509,0.866,0.904,0.114,0.321,67.872,3,ambient
4648,6d3RIvHfVkoOtW1WHXmbX3,Little Symphony,Serenity,Margot,27,45714,False,0.269,0.142,0,-23.695,1,0.0509,0.866,0.904,0.114,0.321,67.872,3,ambient
5721,481beimUiUnMUzSbOAFcUT,SUPER BEAVER,突破口 / 自慢になりたい,突破口,54,255080,False,0.472,0.994,8,-1.786,1,0.114,0.0259,0.0,0.0535,0.262,103.512,4,anime
5769,481beimUiUnMUzSbOAFcUT,SUPER BEAVER,突破口 / 自慢になりたい,突破口,54,255080,False,0.472,0.994,8,-1.786,1,0.114,0.0259,0.0,0.0535,0.262,103.512,4,anime
6090,57QCT8L3kFQiN4AXkBRJxW,Dimmu Borgir,Spiritual Black Dimensions,The Blazing Monoliths of Defiance,22,277093,False,0.169,0.949,4,-6.789,0,0.101,2.47e-05,0.000743,0.276,0.112,112.758,4,black-metal
6134,57QCT8L3kFQiN4AXkBRJxW,Dimmu Borgir,Spiritual Black Dimensions,The Blazing Monoliths of Defiance,22,277093,False,0.169,0.949,4,-6.789,0,0.101,2.47e-05,0.000743,0.276,0.112,112.758,4,black-metal
6501,3RIeNvIwO6ZRMLiwla7DdY,Whoredom Rife,Whoredom Rife,Gitt Til Odin,17,344466,False,0.107,0.899,9,-6.346,0,0.0666,1.48e-06,3.71e-05,0.389,0.0335,187.439,3,black-metal
6557,3RIeNvIwO6ZRMLiwla7DdY,Whoredom Rife,Whoredom Rife,Gitt Til Odin,17,344466,False,0.107,0.899,9,-6.346,0,0.0666,1.48e-06,3.71e-05,0.389,0.0335,187.439,3,black-metal
6803,6FmQMYlxRl56FIgOwvRBil,Whoredom Rife,Pakt,En Lenke Smidd I Blod,16,396210,False,0.355,0.952,6,-6.477,0,0.0814,4.19e-06,0.176,0.36,0.0362,94.972,3,black-metal
6856,6FmQMYlxRl56FIgOwvRBil,Whoredom Rife,Pakt,En Lenke Smidd I Blod,16,396210,False,0.355,0.952,6,-6.477,0,0.0814,4.19e-06,0.176,0.36,0.0362,94.972,3,black-metal
7299,6laLzRAweI0HEOYDMO4Kds,Alison Krauss & Union Station,Live,"Tiny Broken Heart - Live From The Louisville Palace, Kentucky / 2002",25,188400,False,0.466,0.815,9,-8.479,1,0.0355,0.159,0.000236,0.864,0.866,112.448,4,bluegrass
7347,6laLzRAweI0HEOYDMO4Kds,Alison Krauss & Union Station,Live,"Tiny Broken Heart - Live From The Louisville Palace, Kentucky / 2002",25,188400,False,0.466,0.815,9,-8.479,1,0.0355,0.159,0.000236,0.864,0.866,112.448,4,bluegrass
7794,5Aq43Qi1j27J5KQkKYYKq0,Old & In The Way,Breakdown,Working On A Building,21,155733,False,0.524,0.238,9,-17.01,1,0.0426,0.892,0.0148,0.713,0.641,98.942,4,bluegrass
7844,5Aq43Qi1j27J5KQkKYYKq0,Old & In The Way,Breakdown,Working On A Building,21,155733,False,0.524,0.238,9,-17.01,1,0.0426,0.892,0.0148,0.713,0.641,98.942,4,bluegrass
8023,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
8057,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
8846,3FkzSXO9uZbQ4sgRgR8O0m,Fats Domino,The Fats Domino Jukebox: 20 Greatest Hits The Way You Originally Heard Them,Let The Four Winds Blow - Remastered 2002,32,138693,False,0.588,0.494,10,-10.687,1,0.0525,0.535,0.0155,0.0942,0.964,91.964,4,blues
8890,3FkzSXO9uZbQ4sgRgR8O0m,Fats Domino,The Fats Domino Jukebox: 20 Greatest Hits The Way You Originally Heard Them,Let The Four Winds Blow - Remastered 2002,32,138693,False,0.588,0.494,10,-10.687,1,0.0525,0.535,0.0155,0.0942,0.964,91.964,4,blues
9351,1hB4340DP1nnBmfWn37uTN,509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,brazil
9407,1hB4340DP1nnBmfWn37uTN,509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,brazil
9847,469w8UmJYEGGMTNafmscjz,Padre Fábio De Melo,Queremos Deus,Espírito Santo Repousa / Faço Novas Todas as Coisas,43,467000,False,0.276,0.576,0,-8.672,1,0.0389,0.582,0.0,0.636,0.24,139.751,4,brazil
9894,469w8UmJYEGGMTNafmscjz,Padre Fábio De Melo,Queremos Deus,Espírito Santo Repousa / Faço Novas Todas as Coisas,43,467000,False,0.276,0.576,0,-8.672,1,0.0389,0.582,0.0,0.636,0.24,139.751,4,brazil
10935,0LBIf9EFHuxmuNig4JHGZo,Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat
10984,0LBIf9EFHuxmuNig4JHGZo,Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat
12685,7bqnvindpmkim89M9yhRiU,Leon Lai,黎明電影主題曲歌集,"甜蜜蜜 - 電影""甜蜜蜜""主題曲",20,201040,False,0.555,0.348,4,-15.245,1,0.0294,0.78,0.00137,0.115,0.566,138.087,4,cantopop
12732,7bqnvindpmkim89M9yhRiU,Leon Lai,黎明電影主題曲歌集,"甜蜜蜜 - 電影""甜蜜蜜""主題曲",20,201040,False,0.555,0.348,4,-15.245,1,0.0294,0.78,0.00137,0.115,0.566,138.087,4,cantopop
13360,7kao8wtgDELLkoMjGPhre7,Paul Johnson,The Music In Me,Y All Stole Them Dances - Original Mix,10,319352,False,0.804,0.851,11,-9.786,0,0.145,0.00101,0.0107,0.261,0.607,132.813,4,chicago-house
13407,7kao8wtgDELLkoMjGPhre7,Paul Johnson,The Music In Me,Y All Stole Them Dances - Original Mix,10,319352,False,0.804,0.851,11,-9.786,0,0.145,0.00101,0.0107,0.261,0.607,132.813,4,chicago-house
13704,14vexXpojwu3mG1S9fqHmL,Aaron Smith;Luvli,Dancin,Dancin - Laidback Luke Remix,20,381395,False,0.664,0.848,6,-2.382,1,0.162,0.0759,0.0332,0.106,0.359,129.056,4,chicago-house
13754,14vexXpojwu3mG1S9fqHmL,Aaron Smith;Luvli,Dancin,Dancin - Laidback Luke Remix,20,381395,False,0.664,0.848,6,-2.382,1,0.162,0.0759,0.0332,0.106,0.359,129.056,4,chicago-house
14134,5GNH4c3DtYopcN3QcEzOxD,VeggieTales,Oh Santa! Kids Christmas Songs,Feliz Navidad,0,185493,False,0.707,0.506,0,-9.218,1,0.175,0.48,0.000114,0.0491,0.924,157.755,4,children
14190,5GNH4c3DtYopcN3QcEzOxD,VeggieTales,Oh Santa! Kids Christmas Songs,Feliz Navidad,0,185493,False,0.707,0.506,0,-9.218,1,0.175,0.48,0.000114,0.0491,0.924,157.755,4,children
14942,5DVAtP5U4v22AUwjii0bvx,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),"Theme from ""The Addams Family""",0,84000,False,0.717,0.673,5,-4.645,1,0.251,0.801,0.0161,0.0214,0.963,60.799,4,children
14985,5DVAtP5U4v22AUwjii0bvx,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),"Theme from ""The Addams Family""",0,84000,False,0.717,0.673,5,-4.645,1,0.251,0.801,0.0161,0.0214,0.963,60.799,4,children
15044,4xxg28R4JsE5OSyDFlZEmZ,Pink Sweat$,Coffee Chill,I Feel Good,0,136058,False,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4,chill
15094,4xxg28R4JsE5OSyDFlZEmZ,Pink Sweat$,Coffee Chill,I Feel Good,0,136058,False,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4,chill
16015,4gj2XS6vLhDBuiduScHjRX,Johann Sebastian Bach;RIMA,Early Morning Classic,Bach : The Well-Tempered Clavier Book I. Fugue No.2,1,93340,False,0.372,0.0413,0,-31.531,0,0.0339,0.995,0.845,0.129,0.445,170.196,3,classical
16017,0MtRspmmNTRJa4Ebd2AMuN,Johann Sebastian Bach;Lang Lang,Classical Christmas 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
