track_genre,rows,unique_tracks,popularity_mean,popularity_median,duration_median_ms,rows_after_exact_dedup
acoustic,1000,1000,42.483,47.0,214822.0,1000
afrobeat,1000,999,24.399,21.0,230906.5,999
alt-rock,1000,999,33.943,45.0,229585.5,999
alternative,1000,999,24.337,1.0,216093.5,999
ambient,1000,999,44.191,50.0,219880.0,999
anime,1000,999,48.772,50.0,215355.0,999
black-metal,1000,997,22.449,19.0,284319.5,997
bluegrass,1000,998,25.676,24.0,208133.0,998
blues,1000,998,31.188,34.0,209003.0,998
brazil,1000,998,44.67,45.0,253366.5,998
breakbeat,1000,999,20.123,14.0,278373.0,999
british,1000,1000,43.802,52.0,210506.0,1000
cantopop,1000,999,34.739,35.0,235281.0,999
chicago-house,1000,998,12.339,10.0,346685.5,998
children,1000,998,35.047,36.0,136292.0,998
chill,1000,999,53.651,57.0,166002.5,999
classical,1000,933,13.055,3.0,182545.5,933
club,1000,995,33.338,37.0,204000.0,995
comedy,1000,996,24.628,23.0,197457.0,996
country,1000,1000,17.028,0.0,203506.5,1000
dance,1000,965,22.69,1.0,190318.0,965
dancehall,1000,999,33.467,31.0,192834.5,999
death-metal,1000,999,32.169,25.0,237740.0,999
deep-house,1000,998,44.808,51.0,190217.0,998
detroit-techno,1000,998,11.174,8.0,361447.0,998
disco,1000,1000,33.522,32.0,227600.0,1000
disney,1000,999,27.536,23.0,149086.5,999
drum-and-bass,1000,996,26.657,19.0,269972.0,996
dub,1000,999,40.039,44.0,225410.5,999
dubstep,1000,999,42.317,44.0,219428.0,999
edm,1000,993,35.032,47.0,188276.0,993
electro,1000,998,36.075,50.0,189473.0,998
electronic,1000,1000,44.325,48.0,214343.0,1000
emo,1000,1000,48.128,51.0,185048.0,1000
folk,1000,999,38.006,41.0,230381.0,999
forro,1000,998,41.826,41.0,184976.5,998
french,1000,999,41.067,36.5,195757.5,999
funk,1000,1000,32.322,43.0,194808.0,1000
garage,1000,1000,40.933,35.0,193181.0,1000
german,1000,963,26.751,35.0,193470.5,963
gospel,1000,999,41.639,41.0,289556.0,999
goth,1000,999,28.913,24.0,237773.0,999
grindcore,1000,998,14.625,14.0,110499.5,998
groove,1000,998,37.825,39.0,231776.5,998
grunge,1000,999,49.594,55.0,229886.5,999
guitar,1000,999,29.526,26.0,191283.0,999
happy,1000,999,21.716,19.0,226106.0,999
hard-rock,1000,998,42.775,41.0,241093.0,998
hardcore,1000,999,36.105,32.0,211084.0,999
hardstyle,1000,998,26.623,23.0,208943.5,998
heavy-metal,1000,998,26.226,23.0,245419.0,998
hip-hop,1000,991,37.759,58.0,198955.0,991
honky-tonk,1000,981,16.355,13.0,159533.0,981
house,1000,999,34.156,41.5,184898.5,999
idm,1000,998,15.766,12.0,255004.5,998
indian,1000,999,49.539,49.0,237699.0,999
indie,1000,997,38.895,47.0,201815.0,997
indie-pop,1000,1000,40.657,47.0,199688.0,1000
industrial,1000,1000,31.041,24.0,241478.0,1000
iranian,1000,988,2.21,0.0,299023.5,988
j-dance,1000,993,26.656,22.0,188000.0,993
j-idol,1000,999,24.707,22.0,255890.0,999
j-pop,1000,998,41.143,41.0,233659.5,998
j-rock,1000,1000,40.664,37.0,241653.0,1000
jazz,1000,999,13.628,0.0,176553.0,999
k-pop,1000,999,56.896,60.0,229773.0,999
kids,1000,991,14.888,12.0,154270.5,991
latin,1000,990,8.297,0.0,210383.5,990
latino,1000,993,25.656,2.0,208500.5,993
malay,1000,999,30.358,28.0,248955.0,999
mandopop,1000,1000,45.025,49.0,253103.5,1000
metal,1000,998,43.705,57.0,238870.0,998
metalcore,1000,1000,43.477,50.0,224097.5,1000
minimal-techno,1000,998,34.022,39.0,370412.0,998
mpb,1000,1000,40.792,42.0,223086.0,1000
new-age,1000,994,29.065,24.0,263413.0,994
opera,1000,992,24.621,22.0,223806.5,992
pagode,1000,1000,44.298,45.0,214720.0,1000
party,1000,994,20.982,25.0,196855.0,994
piano,1000,998,45.273,50.0,197146.0,998
pop,1000,993,47.576,66.0,211522.0,993
pop-film,1000,999,59.283,60.0,279990.0,999
power-pop,1000,996,26.898,23.0,182019.5,996
progressive-house,1000,999,46.615,52.0,195193.0,999
psych-rock,1000,996,42.778,51.0,195160.0,996
punk,1000,999,38.291,40.0,211520.0,999
punk-rock,1000,1000,38.236,38.0,212466.5,1000
r-n-b,1000,1000,36.687,42.0,208403.0,1000
reggae,1000,1000,20.63,2.0,209160.0,1000
reggaeton,1000,1000,23.858,2.0,207993.0,1000
rock,1000,1000,19.001,0.0,217493.0,1000
rock-n-roll,1000,1000,34.434,32.0,163691.5,1000
rockabilly,1000,999,31.5,28.0,162897.0,999
romance,1000,904,3.245,0.0,188006.5,904
sad,1000,1000,52.379,54.0,149522.5,1000
salsa,1000,998,28.066,29.0,274673.0,998
samba,1000,1000,38.826,39.0,221396.0,1000
sertanejo,1000,1000,47.866,47.0,195411.0,1000
show-tunes,1000,999,31.246,25.0,200060.0,999
singer-songwriter,1000,1000,37.813,43.0,211327.5,1000
ska,1000,1000,35.126,36.0,214100.0,1000
sleep,1000,1000,35.071,35.0,159241.0,1000
songwriter,1000,1000,37.813,43.0,211327.5,1000
soul,1000,999,19.795,0.0,184771.0,999
spanish,1000,1000,37.922,32.0,222522.0,1000
study,1000,998,26.108,28.0,138563.5,998
swedish,1000,1000,37.175,38.0,198973.0,1000
synth-pop,1000,1000,36.576,34.0,236413.0,1000
tango,1000,1000,19.871,19.0,175160.0,1000
techno,1000,1000,39.042,43.0,296236.0,1000
trance,1000,999,37.635,40.0,229206.5,999
trip-hop,1000,997,34.46,38.0,256429.5,997
turkish,1000,999,40.698,40.0,213709.0,999
world-music,1000,999,41.873,44.0,276360.0,999
