,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,zero_count,iqr_flag_count
popularity,114000.0,33.2385350877193,22.30507849337216,0.0,0.0,0.0,17.0,35.0,50.0,69.0,80.0,100.0,0.04640251583177712,16020,2
duration_ms,114000.0,228029.15311403509,107297.71264491302,0.0,64652.9,116920.0,174066.0,212906.0,261506.0,387167.1,530907.6599999991,5237295.0,11.195181480127461,1,5617
danceability,114000.0,0.5668000657894736,0.17354217360214558,0.0,0.134,0.25,0.456,0.58,0.695,0.824,0.901,0.985,-0.399496633514359,157,620
energy,114000.0,0.6413827583964913,0.2515290688025413,0.0,0.0309,0.154,0.472,0.685,0.854,0.969,0.993,1.0,-0.5970014170202254,1,0
key,114000.0,5.309140350877193,3.5599871245365344,0.0,0.0,0.0,2.0,5.0,8.0,11.0,11.0,11.0,-0.008500360453707495,13061,0
loudness,114000.0,-8.258960368421052,5.02933664504159,-49.531,-27.78808,-18.067,-10.013,-7.004,-5.003,-2.974,-1.634,4.532,-2.006541933727139,0,6173
mode,114000.0,0.6375526315789474,0.48070916422995186,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.5723004887818075,41319,0
speechiness,114000.0,0.08465211228070176,0.10573236443651274,0.0,0.0254,0.0282,0.0359,0.0489,0.0845,0.268,0.507,0.965,4.6475160178261925,157,13211
acousticness,114000.0,0.31491006248000003,0.332522702305972,0.0,7.2897e-06,0.000145,0.0169,0.169,0.598,0.948,0.992,0.996,0.7272948607217823,39,0
instrumentalness,114000.0,0.15604958922122808,0.3095548483854693,0.0,0.0,0.0,0.0,4.16e-05,0.049,0.904,0.955,1.0,1.7344061926796162,38763,25246
liveness,114000.0,0.21355283605263156,0.1903776989748307,0.0,0.0407,0.0606,0.098,0.132,0.273,0.681,0.946,1.0,2.1057381171120304,2,8642
valence,114000.0,0.47406823097368417,0.25926106438351787,0.0,0.0346,0.0708,0.26,0.464,0.683,0.911,0.965,0.995,0.11507804205106723,176,0
tempo,114000.0,122.1478372894737,29.978196920075717,0.0,66.204,77.34689999999999,99.21875,122.017,140.071,175.06714999999997,194.00001999999998,243.372,0.23229486055176873,157,617
time_signature,114000.0,3.9040350877192984,0.4326208483475784,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,-4.098316671758469,163,12157
