,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
popularity,1.0,-0.007101208619703797,0.03544813475138456,0.001056136299699478,-0.003853154715560276,0.050423036100496726,-0.013930786753108272,-0.04492654926158642,-0.02547241256836296,-0.09513920344466378,-0.005387153831593543,-0.04053429465994478,0.013204659932995164,0.031072758760107944
duration_ms,-0.007101208619703797,1.0,-0.0734262404887121,0.05852277808156142,0.008114135523599708,-0.0034701651716764013,-0.03555570192677205,-0.06259983350396105,-0.10378812960483076,0.12437050184419106,0.010321328690527575,-0.1544786118015364,0.02434560569059918,0.018224618860073007
danceability,0.03544813475138456,-0.0734262404887121,1.0,0.1343254834689731,0.03646876939468081,0.259076733173736,-0.06921925528558356,0.10862608966979848,-0.1715333309537537,-0.18560624973011564,-0.1316168566857274,0.4773412353128837,-0.05044987143121911,0.20721811494175352
energy,0.001056136299699478,0.05852277808156142,0.1343254834689731,1.0,0.048005616419316124,0.7616899598908229,-0.07836183592117937,0.1425088678087147,-0.7339063209687006,-0.18187921111249006,0.184795522295953,0.2589339951838104,0.24785050980261852,0.18712607527129327
key,-0.003853154715560276,0.008114135523599708,0.03646876939468081,0.048005616419316124,1.0,0.038590068681488184,-0.13591584110820829,0.020417666762920852,-0.040937072191106656,-0.0068228997086772075,-0.0016000351154872377,0.034103154095566905,0.010916619112810303,0.015064961073379332
loudness,0.050423036100496726,-0.0034701651716764013,0.259076733173736,0.7616899598908229,0.038590068681488184,1.0,-0.04176443970303784,0.060826328125053494,-0.589802666748685,-0.4334768619918994,0.07689866201093871,0.2798478818998835,0.21244589657951293,0.19199186807648067
mode,-0.013930786753108272,-0.03555570192677205,-0.06921925528558356,-0.07836183592117937,-0.13591584110820829,-0.04176443970303784,1.0,-0.046531716684373656,0.09555323646341249,-0.04995460675358008,0.014012191588595136,0.021952523802556544,0.0005655581057944913,-0.024092268920632744
speechiness,-0.04492654926158642,-0.06259983350396105,0.10862608966979848,0.1425088678087147,0.020417666762920852,0.060826328125053494,-0.046531716684373656,1.0,-0.0021863357894030366,-0.08961576482388979,0.20521905734843077,0.036634582881903986,0.017273223330484134,-1.1121132844944972e-05
acousticness,-0.02547241256836296,-0.10378812960483076,-0.1715333309537537,-0.7339063209687006,-0.040937072191106656,-0.589802666748685,0.09555323646341249,-0.0021863357894030366,1.0,0.10402711936289785,-0.020700360822696343,-0.10707017977230612,-0.20822414719631155,-0.1761382872460944
instrumentalness,-0.09513920344466378,0.12437050184419106,-0.18560624973011564,-0.18187921111249006,-0.0068228997086772075,-0.4334768619918994,-0.04995460675358008,-0.08961576482388979,0.10402711936289785,1.0,-0.07989258226235166,-0.3243123284885751,-0.05033040132787435,-0.08258038511037413
liveness,-0.005387153831593543,0.010321328690527575,-0.1316168566857274,0.184795522295953,-0.0016000351154872377,0.07689866201093871,0.014012191588595136,0.20521905734843077,-0.020700360822696343,-0.07989258226235166,1.0,0.019086254807101112,0.0005997673113037409,-0.02365055961847419
valence,-0.04053429465994478,-0.1544786118015364,0.4773412353128837,0.2589339951838104,0.034103154095566905,0.2798478818998835,0.021952523802556544,0.036634582881903986,-0.10707017977230612,-0.3243123284885751,0.019086254807101112,1.0,0.0782730676394731,0.13368595777261855
tempo,0.013204659932995164,0.02434560569059918,-0.05044987143121911,0.24785050980261852,0.010916619112810303,0.21244589657951293,0.0005655581057944913,0.017273223330484134,-0.20822414719631155,-0.05033040132787435,0.0005997673113037409,0.0782730676394731,1.0,0.06664108820638949
time_signature,0.031072758760107944,0.018224618860073007,0.20721811494175352,0.18712607527129327,0.015064961073379332,0.19199186807648067,-0.024092268920632744,-1.1121132844944972e-05,-0.1761382872460944,-0.08258038511037413,-0.02365055961847419,0.13368595777261855,0.06664108820638949,1.0
