track_id,rows,genres
001APMDOl3qtx1526T11n1,2,2
001YQlnDSduXd5LgBd66gT,2,2
003vvx7Niy0yvhvHt4a68B,3,3
004h8smbIoAkUNDJvVKwkG,2,2
006rHBBNLJMpQs8fRC2GDe,3,3
006tmNZLXEXPqdb23wwSN1,4,4
00970cTs7LnxWt0d5Qk08m,2,2
00B7SBwrjbycLMOgAmeIU8,3,3
00EsQxsJv6vy7hEQN3jZWG,2,2
00GVRTIWMjYwwHEjTLclgf,2,2
00IiTu5o9IVasXMX3udpZo,2,2
00JZ83w0Qm09f4PwWj06sM,2,1
00KfIFi2TpAaQGPbRbFbKJ,3,3
00LmM2QLGpfb5NC7PC7qqZ,2,2
00PBSElFPJbnIcFS7orAm2,4,4
00Rptyyrh7YXjPwjd7SAsV,2,2
00UZySJXRYQgnOrlzluIIm,2,2
00YwP3wJWiG8IxAA7OS9lo,6,6
00ZGWtUFiGqWuFd7i4OeZV,3,3
00bOo6r6YhVnxzDu4JhCWX,2,2
00gxx5tCbWPxr76vGNED8B,4,4
00hTw7P6jPUio5Qgojw38w,3,3
00j7NgyKytDYlBEpIv4QPQ,2,2
00kZX8Ne9wNJoChq7KzEpg,2,2
00nQri79W2dxFkWmXISlLh,2,2
00nmZvZRyzQiYe2tAcDDUb,2,2
00oZhqZIQfL9P5CjOP6JsO,2,2
00r6omMNTuBPImjlLWtB3V,2,2
00tFl7H7UaITu6p9PM6UJM,2,2
00tVVn9y5Ar2mmfiN0Bjmq,3,3
00toEUNl6yPNBZdnIivdFk,2,2
00uTtxaqbG0jPPjPCZx37Q,2,2
010189igJXAPKuys4itwaE,2,2
010LzZsO4eqQUdUv1f1y9m,2,2
0110a0AM2nOV8yYa9u6kjQ,2,2
012JFkVnfxxnL0dN29j73L,5,5
014SIjoLDG1Ku19c5FlDYh,2,2
015BCBzbTyaGy01VopJlR9,2,2
015ENhxZgNXSvzml1FJueG,2,2
016InjKRa0RBF9FyEAbzhO,2,2
019GjjVqU4lNg4QnZzRjUd,4,4
019kQw9gcLJONeYgEtlf9t,2,2
01ACdIbLskndpj7q5pMfh4,2,2
01AwohzqShtjlhyjYoWKHM,2,2
01LE9CWi7yaQOx3vWxwDHI,3,3
01MVOl9KtVTNfFiBU9I7dc,2,2
01N2IF29PcgRWBqGtLjoha,2,2
01N4rGD2WJZewp4RAu8034,2,2
01Nl8C2RuzukJWbOfYxsU6,2,2
01Q3OyB05mLgH01fpdAMPP,2,2
01RPCqi99slyxGHTmLSwGO,2,2
01Rc6yXYtujAnMaR1NME11,2,2
01SfTM5nfCou5gQL70r6gs,2,2
01TtrmZEiYitpwDUcPQ6dj,2,2
01TyFEZu6mHbffsVfxgrFn,2,2
01XHdHj96m9u8VEyvInHGE,2,2
01XP4DU82QE56hH3l16a7S,2,2
01Y6Ty0YJVGXWiJOK4zi0q,3,3
01YEp5KTfQyoRpH3Ci1oFz,2,2
01YIoxhuISTSBh8cOvhIbG,2,2
01cGujYWGF7JchJLSgf6Ta,2,2
01fVbxyW9y2oKdXvg56uE5,2,2
01hV2UktTReYejmCouZ3dV,2,2
01kzWd0EWMYrSDHESjTjfU,2,2
01p5s1IbneueexPka3Px3O,2,2
01pX5frQUf9ioZQQJjGNxU,2,2
01u6AEzGbGbQyYVdxajxqk,2,2
01xW1yKvTy9ycpo2qYCzcs,2,2
01xqHIwd7hQLROgelUQ6w2,2,2
01yDjImCcOaHDT4uy6VOPw,3,3
01yZpKoKFXSzX2vQNYgvgy,2,2
020XZ8mDVjzbnmvjL6GKls,2,2
022nJwdqNEHRazWpp55bWa,2,2
023H4I7HJnxRqsc9cqeFKV,2,2
023iiH1B94VYpHuq2Wnp1b,2,2
02CMDD2zt4LyEdOaSwVNhy,3,3
02CygBCQOIyEuhNZqHHcNx,2,2
02IW65kQC100srRSE5poWs,4,4
02IzKHWkGVtNMdPoOAxHb3,4,4
02KmEChUwcjxG3G29kbLFT,2,1
02LmGMJG5yi2K1RsBOj5cR,4,4
02MRylJ1WAgxzdqfNfdIsR,2,1
02MWAaffLxlfxAUY7c5dvx,3,3
02NLx3HFHZhO2X7zT5e5DH,3,3
02NjAsgrCjbFioTyGI0FeT,4,4
02Q9pW0hdgO0OuzkxIRgG6,2,2
02VPWX6le8yZ5amfZPs12b,2,2
02Yq5yPG7j7QylbZiVmJJI,2,2
02bJ6uGeHKfNOhIc9qyA8e,3,3
02cQ2pZO0282lsQcjtHV8O,2,2
02fuv91GGA2FwaOTiKQVa7,2,2
02gH8djuf4t1V0aCaPBfNM,2,2
02j3P5NLtFH34LVPLHLk5s,3,3
02jLfqc9gMo8PkHEGHY3OT,3,3
02kqIWKi4zOQ2hIjUAfhqb,3,3
02oT3HvcsXD64VwOBtH8yM,2,2
02oW7CYWjfiCs1rZs7GNes,2,2
02ocOpp3OlYjjFvhvBDljE,2,2
02rL5rMK7s4LQ6BAjNF5iv,2,2
