source_row_zero_based,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,review_reasons
2926,0jdfbvSdaWvxfAlD20TtNc,Yaşlı Amca,Akşamüstü,Sanki Yapamadım,44,213198,False,0.442,0.567,8,-6.346,0,0.0516,0.238,0.000325,0.0852,0.639,138.616,0,alt-rock,time_signature_zero_review
4131,59gg6zQhSKGVnkT3hWAY3l,Max Richter;Lang Lang,Voyager - Essential Max Richter,The Departure,64,151506,False,0.0,0.0362,0,-22.519,0,0.0,0.994,0.94,0.0958,0.0,0.0,0,ambient,tempo_nonpositive_review; time_signature_zero_review
4379,4acmzQsAeMJa5sGFSog7fu,Dario Marianelli;Jack Liebeck;Benjamin Wallfisch,Jane Eyre - Original Motion Picture Soundtrack,The End of Childhood (feat. Jack Liebeck),55,73266,False,0.0,0.0445,0,-26.44,0,0.0,0.972,0.972,0.0873,0.0,0.0,0,ambient,tempo_nonpositive_review; time_signature_zero_review
4664,1Kb2DqjHRvOcT5xeWtz3t5,Sylvain Chauveau,Des Plumes Dans La Tête,Ferme Les Yeux,53,68493,False,0.0,0.0323,2,-23.636,0,0.0,0.994,0.973,0.0922,0.0,0.0,0,ambient,tempo_nonpositive_review; time_signature_zero_review
6005,4ar1c2LuEYvcyRfPB8lFPC,ORM,Intet • Altet,Fra dyden,26,1478618,False,0.174,0.664,6,-12.485,0,0.0789,0.00128,0.264,0.0543,0.0371,127.958,3,black-metal,duration_over_20_minutes_review
6057,4Vg7M29rIPeLJwYCLHdRh2,ORM,Intet • Altet,"Floden, som kan skabe",23,1455781,False,0.102,0.65,6,-11.909,0,0.0738,0.000163,0.207,0.141,0.0605,158.445,3,black-metal,duration_over_20_minutes_review
6106,5EXgHFaBUzAHZpt9wDcJ7W,ORM,Intet • Altet,Mod døden,21,1431042,False,0.189,0.674,1,-11.322,0,0.0926,3.37e-05,0.0468,0.0874,0.0598,123.603,3,black-metal,duration_over_20_minutes_review
6459,4xExX6cjgFyqKH2YCDCfvy,ORM,Ir,Klippens Lyse Hal,18,1395338,False,0.0858,0.814,6,-7.181,1,0.062,2.3e-05,0.691,0.0963,0.0627,171.799,4,black-metal,duration_over_20_minutes_review
9146,5dyRLxyjgy5orlNd9hNCt0,Frei Gilson,Acoustic Som do Monte,Tu És o Centro (Ao Vivo),49,1357451,False,0.56,0.449,5,-9.882,1,0.0282,0.6,1.43e-05,0.638,0.198,76.004,4,brazil,duration_over_20_minutes_review
10191,5FlcCJAAcAb5crxohyJPL6,Deekline;Ed Solo,Welcome To The Jungle: The Ultimate Jungle Cakes Drum & Bass Compilation,Welcome To The Jungle - Continuous DJ Mix Pt. 1,18,2733257,False,0.634,0.898,1,-6.876,1,0.0403,0.00133,0.000459,0.124,0.581,87.499,4,breakbeat,duration_over_20_minutes_review
10739,1HsXpX34EY1c1PaZQIMgdh,Deekline;Ed Solo;Serial Killaz,"Welcome To The Jungle: Drum & Bass X Jungle: Mixed By Deekline, Ed Solo & Serial Killaz","Welcome To The Jungle - Continuous DJ Mix, Pt. 1",11,3274999,False,0.611,0.913,1,-3.601,1,0.0624,0.000645,0.0344,0.0598,0.417,175.009,4,breakbeat,duration_over_20_minutes_review
10796,216ECpehdSfgpyziKJZmUd,Ed Solo;Deekline,"Welcome To The Jungle, Vol. 2: The Ultimate Jungle Cakes Drum & Bass Compilation","Welcome To The Jungle Vol. 2 - Continuous DJ Mix, Pt. 2",11,2523428,False,0.602,0.958,7,-2.743,1,0.0494,0.00167,0.000396,0.105,0.436,175.005,4,breakbeat,duration_over_20_minutes_review
10935,0LBIf9EFHuxmuNig4JHGZo,Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat,duration_over_20_minutes_review
10949,0AfIewt6bapCFSHmVjdQZP,Lady Waks,Bass Shakers 2015,"Bass Shakers 2015 - Continuous DJ Mix, Pt. 1",11,2796984,False,0.516,0.899,1,-5.899,1,0.0573,0.00336,0.00168,0.19,0.465,130.572,4,breakbeat,duration_over_20_minutes_review
10984,0LBIf9EFHuxmuNig4JHGZo,Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat,duration_over_20_minutes_review
10992,6uRhOHCa1APhYNgsvU1EqF,Deekline;Ed Solo,Welcome To The Jungle: The Ultimate Jungle Cakes Drum & Bass Compilation,Welcome To The Jungle - Continuous DJ Mix Pt. 2,10,2830628,False,0.579,0.915,7,-6.435,1,0.0464,0.00401,0.000546,0.118,0.521,175.013,4,breakbeat,duration_over_20_minutes_review
10998,2ZChiwyj61cwCneXoLBCjK,Ed Solo;Deekline,"Welcome To The Jungle, Vol. 2: The Ultimate Jungle Cakes Drum & Bass Compilation","Welcome To The Jungle Vol. 2 - Continuous DJ Mix, Pt. 1",10,2287542,False,0.598,0.94,10,-2.479,0,0.0562,0.0011,0.000707,0.342,0.473,175.013,4,breakbeat,duration_over_20_minutes_review
11281,7CKOuVDaEs3bK9lI8CVCCN,Gerald Barry;Nicolas Hodges;Britten Sinfonia;Thomas Adès,Beethoven: Complete Symphonies & Barry: Selected Works,Piano Concerto,0,1361079,False,0.442,0.193,7,-18.109,1,0.0573,0.982,0.829,0.0872,0.238,107.135,4,british,duration_over_20_minutes_review
13195,3se0UYprtkHthJEBuk1A5K,Mark Farina,Greenhouse Construction,Greenhouse Construction,12,4334721,False,0.846,0.744,10,-9.26,0,0.0611,0.00371,0.335,0.313,0.532,125.434,4,chicago-house,duration_over_20_minutes_review
13245,13hQAhg1owjTpTcI9xQc6c,Mark Farina,Live In Tokyo,Live In Tokyo - Continuous Mix,11,4339826,False,0.806,0.582,1,-12.181,1,0.0874,0.0083,0.237,0.328,0.686,128.368,4,chicago-house,duration_over_20_minutes_review
13344,3gFme8BdfTtFHxKmuTnSbj,Mark Farina,House of OM (DJ Mix),House of Om - Mark Farina - Continuous Mix,11,4447520,False,0.861,0.805,11,-6.461,0,0.0711,0.00548,0.577,0.135,0.545,129.306,4,chicago-house,duration_over_20_minutes_review
16110,42vD6luOTR1WtATGz1zns9,Soolamangalam Sisters,Sri Skandha Guru Kavasam,Skandha Sashti Kavacham,46,1223800,False,0.677,0.351,2,-16.101,0,0.0509,0.838,0.0,0.0978,0.706,117.443,4,classical,duration_over_20_minutes_review
16113,1C2MHvFmeoFpExBtWOiQ4Z,M. S. Subbulakshmi,Sri Venkatesa Suprabhatham,Sri Venkateshwara Suprabhatham,48,1240944,False,0.605,0.408,7,-7.678,1,0.495,0.955,0.0,0.419,0.798,85.498,3,classical,duration_over_20_minutes_review
16202,0syWP6hExPrVVfq8yVL0oa,Priya Sisters,Lalitha Pancharatnam,Lalitha Sahasranama Sthothram,43,1755311,False,0.54,0.438,9,-8.409,1,0.0765,0.815,0.0,0.388,0.777,89.848,1,classical,duration_over_20_minutes_review
16207,7aRbNtrDwkJh8THFGUAD0A,Franz Schubert;Burak Çebi,Burak Çebi: Bright Spots,Piano Sonata D. 960 in B-Flat Major: I. Allegro moderato,0,1203613,False,0.412,0.0313,10,-25.323,1,0.0454,0.991,0.899,0.0735,0.0387,126.359,4,classical,duration_over_20_minutes_review
16250,7I9xKtogwLsrAWElRo2j3f,Soolamangalam Sisters,Sri Skandha Guru Kavasam,Sri Skandha Guru Kavacham,40,1341746,False,0.64,0.494,0,-8.186,1,0.0592,0.96,0.0,0.0706,0.668,116.006,3,classical,duration_over_20_minutes_review
16274,26Dme5GkC1yX4P2QU9V6Sk,Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",0,1371693,False,0.175,0.0869,2,-20.248,0,0.0427,0.955,0.251,0.0783,0.0345,78.113,4,classical,duration_over_20_minutes_review
16287,1H16V8BXMLl94lnog8hPZt,Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: II. Quasi variazione. Andante",0,1452106,False,0.202,0.0329,5,-26.269,1,0.0453,0.968,0.569,0.0842,0.0374,72.341,4,classical,duration_over_20_minutes_review
16314,7ukgPiKTMVFYaXlAjvTCA5,M. S. Subbulakshmi,Bhaja Govindam And Vishnu Sahasranamam,Vishnu Sahasranamam - Dhyanam,39,1798933,False,0.683,0.264,5,-9.791,1,0.336,0.899,0.0,0.141,0.549,101.052,4,classical,duration_over_20_minutes_review
16345,26Dme5GkC1yX4P2QU9V6Sk,Sergei Rachmaninoff;Talistrio,"Casella, Rachmaninoff & Yamada: Chamber Works","Trio élégiaque No. 2 in D Minor, Op. 9: I. Moderato - Allegro vivace",0,1371693,False,0.175,0.0869,2,-20.248,0,0.0427,0.955,0.251,0.0783,0.0345,78.113,4,classical,duration_over_20_minutes_review
16357,5D5nAYobT1ObbVIPQIJblO,Priya Sisters,Sri Venkatesa Suprabatham,Sri Venkatesa Suprabhatam - Language: Tamil,36,1234386,False,0.567,0.29,8,-8.571,1,0.0788,0.807,0.0,0.0527,0.808,101.045,1,classical,duration_over_20_minutes_review
