,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
popularity,1.0,0.028226556608923894,0.02662849089097042,-0.023513149268772373,-0.0025902213790240797,0.03517833368889878,-0.014501468548977057,-0.06787217704989566,0.008399165149659417,-0.07845353937183717,-0.00818907522484017,-0.041901687426679574,0.017085177946050842,0.03638395683728809
duration_ms,0.028226556608923894,1.0,-0.09773943790722993,0.10402936690362685,0.014024405800682005,0.021732446265679405,-0.04332635808065866,-0.1286032795878028,-0.17028506383032713,0.1265680214572925,-0.040110767093214296,-0.17823764496863237,0.050003139745782466,0.025437087471668063
danceability,0.02662849089097042,-0.09773943790722993,1.0,0.03854717136281008,0.03506342541414545,0.11162740397761982,-0.076336325099899,0.15863053924549894,-0.038674951007222326,-0.1444169448006844,-0.1453698362125154,0.46155470659721765,-0.07094657241427853,0.18543985830654133
energy,-0.023513149268772373,0.10402936690362685,0.03854717136281008,1.0,0.04474822360292323,0.7502020586986695,-0.07341228712300764,0.3549672205264829,-0.7081951634666447,-0.03542062897249451,0.17718491274828474,0.20813616929944007,0.24098059445601508,0.16882327178373724
key,-0.0025902213790240797,0.014024405800682005,0.03506342541414545,0.04474822360292323,1.0,0.032064753641040465,-0.1328257389382744,0.04371637819204001,-0.03772913203013003,0.004666725620444442,-0.003666886191656384,0.03342418747861455,0.011526471943145374,0.015140096232309743
loudness,0.03517833368889878,0.021732446265679405,0.11162740397761982,0.7502020586986695,0.032064753641040465,1.0,-0.047431978821782954,0.23169951813098846,-0.5336753808709896,-0.28918656964706485,0.11147338253082392,0.22116218897370032,0.19380441902092602,0.15836257165390605
mode,-0.014501468548977057,-0.04332635808065866,-0.076336325099899,-0.07341228712300764,-0.1328257389382744,-0.047431978821782954,1.0,-0.11391950621417535,0.087148660056819,-0.07279336427785812,0.014048908451801737,0.020853251780179653,0.0012029560817064444,-0.028345607403637424
speechiness,-0.06787217704989566,-0.1286032795878028,0.15863053924549894,0.3549672205264829,0.04371637819204001,0.23169951813098846,-0.11391950621417535,1.0,-0.214071842136457,-0.04899561266199315,0.09184773857726028,0.09188270128703449,0.11485411145663046,0.08518269081141436
acousticness,0.008399165149659417,-0.17028506383032713,-0.038674951007222326,-0.7081951634666447,-0.03772913203013003,-0.5336753808709896,0.087148660056819,-0.214071842136457,1.0,-0.0961172524718502,-0.042044028114613,-0.02064688322262454,-0.21716842743394066,-0.16082776189297754
instrumentalness,-0.07845353937183717,0.1265680214572925,-0.1444169448006844,-0.03542062897249451,0.004666725620444442,-0.28918656964706485,-0.07279336427785812,-0.04899561266199315,-0.0961172524718502,1.0,-0.09857613682816956,-0.31987535414391355,-0.005030467483425301,-0.058135535910284274
liveness,-0.00818907522484017,-0.040110767093214296,-0.1453698362125154,0.17718491274828474,-0.003666886191656384,0.11147338253082392,0.014048908451801737,0.09184773857726028,-0.042044028114613,-0.09857613682816956,1.0,0.013058671716567802,0.01944523253218216,-0.006840604977785457
valence,-0.041901687426679574,-0.17823764496863237,0.46155470659721765,0.20813616929944007,0.03342418747861455,0.22116218897370032,0.020853251780179653,0.09188270128703449,-0.02064688322262454,-0.31987535414391355,0.013058671716567802,1.0,0.06270540978585167,0.13344024044238584
tempo,0.017085177946050842,0.050003139745782466,-0.07094657241427853,0.24098059445601508,0.011526471943145374,0.19380441902092602,0.0012029560817064444,0.11485411145663046,-0.21716842743394066,-0.005030467483425301,0.01944523253218216,0.06270540978585167,1.0,0.015952463539601797
time_signature,0.03638395683728809,0.025437087471668063,0.18543985830654133,0.16882327178373724,0.015140096232309743,0.15836257165390605,-0.028345607403637424,0.08518269081141436,-0.16082776189297754,-0.058135535910284274,-0.006840604977785457,0.13344024044238584,0.015952463539601797,1.0
